Year,Count,Kimarite,Filename
2010,420,hikiotoshi,2010.csv
2010,338,uwatenage,2010.csv
2010,306,tsukiotoshi,2010.csv
2010,266,yoritaoshi,2010.csv
2010,210,oshitaoshi,2010.csv
2010,182,okuridashi,2010.csv
2010,176,sukuinage,2010.csv
2011,1240,yorikiri,2011.csv
2011,1032,oshidashi,2011.csv
2011,374,hatakikomi,2011.csv
2011,312,hikiotoshi,2011.csv
2011,282,tsukiotoshi,2011.csv
2011,276,uwatenage,2011.csv
2011,238,yoritaoshi,2011.csv
2011,144,oshitaoshi,2011.csv
2011,130,sukuinage,2011.csv
2011,114,okuridashi,2011.csv
2012,1408,yorikiri,2012.csv
2012,1378,oshidashi,2012.csv
2012,522,hatakikomi,2012.csv
2012,378,tsukiotoshi,2012.csv
2012,322,hikiotoshi,2012.csv
2012,292,uwatenage,2012.csv
2012,252,yoritaoshi,2012.csv
2012,192,oshitaoshi,2012.csv
2012,184,sukuinage,2012.csv
2012,178,okuridashi,2012.csv
2013,1584,yorikiri,2013.csv
2013,1306,oshidashi,2013.csv
2013,514,hatakikomi,2013.csv
2013,340,uwatenage,2013.csv
2013,338,tsukiotoshi,2013.csv
2013,250,hikiotoshi,2013.csv
2013,200,yoritaoshi,2013.csv
2013,196,oshitaoshi,2013.csv
2013,192,tsukidashi,2013.csv
2013,186,okuridashi,2013.csv
2014,1752,yorikiri,2014.csv
2014,1250,oshidashi,2014.csv
2014,564,hatakikomi,2014.csv
2014,324,tsukiotoshi,2014.csv
2014,294,uwatenage,2014.csv
2014,222,yoritaoshi,2014.csv
2014,196,tsukidashi,2014.csv
2014,192,hikiotoshi,2014.csv
2014,162,oshitaoshi,2014.csv
2014,160,okuridashi,2014.csv
2015,1838,yorikiri,2015.csv
2015,1346,oshidashi,2015.csv
2015,502,hatakikomi,2015.csv
2015,358,tsukiotoshi,2015.csv
2015,256,uwatenage,2015.csv
2015,218,hikiotoshi,2015.csv
2015,210,tsukidashi,2015.csv
2015,184,yoritaoshi,2015.csv
2015,174,okuridashi,2015.csv
2015,150,oshitaoshi,2015.csv
2016,1692,yorikiri,2016.csv
2016,1366,oshidashi,2016.csv
2016,510,hatakikomi,2016.csv
2016,388,tsukiotoshi,2016.csv
2016,258,uwatenage,2016.csv
2016,256,hikiotoshi,2016.csv
2016,210,tsukidashi,2016.csv
2016,192,yoritaoshi,2016.csv
2016,174,oshitaoshi,2016.csv
2016,166,okuridashi,2016.csv
2017,1702,yorikiri,2017.csv
2017,1298,oshidashi,2017.csv
2017,560,hatakikomi,2017.csv
2017,412,tsukiotoshi,2017.csv
2017,264,hikiotoshi,2017.csv
2017,244,uwatenage,2017.csv
2017,188,yoritaoshi,2017.csv
2017,184,okuridashi,2017.csv
2017,162,oshitaoshi,2017.csv
2017,150,tsukidashi,2017.csv
2018,1614,yorikiri,2018.csv
2018,1468,oshidashi,2018.csv
2018,538,hatakikomi,2018.csv
2018,386,tsukiotoshi,2018.csv
2018,280,hikiotoshi,2018.csv
2018,262,uwatenage,2018.csv
